Temperature,Pressure,Data
-10.0,0.1,899.718
-10.0,1.01325,900.424
-10.0,7.38958,901.309
-10.0,14.6792,902.434
-10.0,21.9688,903.838
-10.0,29.2583,905.495
-10.0,36.5479,907.312
-10.0,43.8375,909.173
-10.0,51.1271,911.006
-10.0,58.4167,912.836
-10.0,65.7063,914.796
-10.0,72.9958,917.097
-10.0,80.2854,917.496
-10.0,87.575,919.973
-10.0,94.8646,923.535
-10.0,102.154,927.592
-10.0,109.444,931.654
-10.0,116.733,935.228
-10.0,124.023,938.051
-10.0,131.313,940.087
-10.0,138.602,941.415
-10.0,145.892,942.154
-10.0,153.181,942.419
-10.0,160.471,942.31
-10.0,167.76,941.908
-10.0,175.05,941.278
-10.0,182.34,940.469
-10.0,189.629,939.52
-10.0,196.919,938.462
-10.0,204.208,937.317
-10.0,211.498,768.129
-10.0,218.788,766.294
-10.0,226.077,764.449
-10.0,233.367,762.593
-10.0,240.656,760.726
-10.0,247.946,782.874
-10.0,255.235,781.068
-10.0,262.525,779.255
-10.0,269.815,777.435
-10.0,277.104,775.607
-10.0,284.394,773.772
-10.0,291.683,771.93
-10.0,298.973,770.08
-10.0,306.263,768.222
-10.0,313.552,766.356
-10.0,320.842,764.483
-10.0,328.131,762.601
-10.0,335.421,760.711
-10.0,342.71,784.581
-10.0,350.0,782.778
-7.70833,0.1,873.877
-7.70833,1.01325,875.524
-7.70833,7.38958,876.919
-7.70833,14.6792,878.094
-7.70833,21.9688,879.092
-7.70833,29.2583,879.962
-7.70833,36.5479,880.755
-7.70833,43.8375,881.521
-7.70833,51.1271,882.302
-7.70833,58.4167,883.141
-7.70833,65.7063,884.079
-7.70833,72.9958,885.161
-7.70833,80.2854,885.343
-7.70833,87.575,886.426
-7.70833,94.8646,887.885
-7.70833,102.154,889.515
-7.70833,109.444,891.26
-7.70833,116.733,893.063
-7.70833,124.023,894.901
-7.70833,131.313,896.811
-7.70833,138.602,898.893
-7.70833,145.892,901.289
-7.70833,153.181,904.133
-7.70833,160.471,907.459
-7.70833,167.76,911.102
-7.70833,175.05,914.737
-7.70833,182.34,918.025
-7.70833,189.629,920.756
-7.70833,196.919,922.863
-7.70833,204.208,924.372
-7.70833,211.498,925.352
-7.70833,218.788,925.885
-7.70833,226.077,926.048
-7.70833,233.367,925.907
-7.70833,240.656,925.519
-7.70833,247.946,924.931
-7.70833,255.235,924.18
-7.70833,262.525,923.298
-7.70833,269.815,922.308
-7.70833,277.104,720.939
-7.70833,284.394,718.872
-7.70833,291.683,716.787
-7.70833,298.973,714.683
-7.70833,306.263,712.56
